Fecha,StateName,DaysOnZillow
2019-06-30,ID,
2019-06-30,IL,71.5
2019-06-30,IN,57.5
2019-06-30,KS,61.5
2019-06-30,KY,67.5
2019-06-30,LA,83.5
2019-06-30,MA,59.0
2019-06-30,MD,71.5
2019-06-30,ME,56.5
2019-06-30,MI,55.5
2019-06-30,MN,57.0
2019-06-30,MO,62.5
2019-06-30,MS,89.0
2019-06-30,MT,55.0
2019-06-30,NC,57.0
2019-06-30,ND,
2019-06-30,NE,60.5
2019-06-30,NH,53.0
2019-06-30,NJ,106.5
2019-06-30,NM,62.5
2019-06-30,NV,60.5
2019-06-30,NY,91.0
2019-06-30,OH,65.0
2019-06-30,OK,69.0
2019-06-30,OR,58.0
2019-06-30,PA,70.0
2019-06-30,RI,67.0
2019-06-30,SC,66.0
2019-06-30,SD,60.0
2019-06-30,TN,56.0
2019-06-30,TX,66.0
2019-06-30,UT,47.0
2019-06-30,VA,63.0
2019-06-30,WA,47.0
2019-06-30,WI,64.0
2019-06-30,WV,67.0
2019-06-30,WY,61.0
2019-07-31,AK,
2019-07-31,AL,67.0
2019-07-31,AR,69.5
2019-07-31,AZ,63.5
2019-07-31,CA,55.0
2019-07-31,CO,54.0
2019-07-31,CT,85.0
2019-07-31,DE,87.5
2019-07-31,FL,79.5
2019-07-31,GA,58.0
2019-07-31,HI,96.0
2019-07-31,IA,67.5
2019-07-31,ID,
2019-07-31,IL,73.0
2019-07-31,IN,58.0
2019-07-31,KS,55.0
2019-07-31,KY,72.0
2019-07-31,LA,88.5
2019-07-31,MA,61.0
2019-07-31,MD,73.0
2019-07-31,ME,61.0
2019-07-31,MI,59.5
2019-07-31,MN,63.5
2019-07-31,MO,61.0
2019-07-31,MS,92.0
2019-07-31,MT,64.0
2019-07-31,NC,61.0
2019-07-31,ND,
2019-07-31,NE,58.0
2019-07-31,NH,52.0
2019-07-31,NJ,95.0
2019-07-31,NM,63.5
2019-07-31,NV,60.5
2019-07-31,NY,99.0
2019-07-31,OH,68.0
2019-07-31,OK,71.0
2019-07-31,OR,58.0
2019-07-31,PA,70.0
2019-07-31,RI,70.0
2019-07-31,SC,69.0
2019-07-31,SD,61.0
2019-07-31,TN,61.0
2019-07-31,TX,67.5
2019-07-31,UT,48.0
2019-07-31,VA,62.0
2019-07-31,WA,50.0
2019-07-31,WI,64.0
2019-07-31,WV,72.0
2019-07-31,WY,66.0
2019-08-31,AK,
2019-08-31,AL,68.0
2019-08-31,AR,74.5
2019-08-31,AZ,70.0
2019-08-31,CA,55.0
2019-08-31,CO,63.0
2019-08-31,CT,97.0
2019-08-31,DE,90.5
2019-08-31,FL,73.0
2019-08-31,GA,61.5
2019-08-31,HI,95.0
2019-08-31,IA,72.0
2019-08-31,ID,
2019-08-31,IL,79.0
2019-08-31,IN,55.0
2019-08-31,KS,69.0
2019-08-31,KY,81.5
2019-08-31,LA,85.0
2019-08-31,MA,65.0
2019-08-31,MD,77.0
2019-08-31,ME,63.5
2019-08-31,MI,59.5
2019-08-31,MN,67.0
2019-08-31,MO,64.5
2019-08-31,MS,97.0
2019-08-31,MT,64.0
2019-08-31,NC,58.0
2019-08-31,ND,
2019-08-31,NE,62.5
2019-08-31,NH,53.0
2019-08-31,NJ,94.5
2019-08-31,NM,68.5
2019-08-31,NV,62.5
2019-08-31,NY,113.0
2019-08-31,OH,66.0
2019-08-31,OK,72.0
2019-08-31,OR,70.0
2019-08-31,PA,70.0
2019-08-31,RI,70.0
2019-08-31,SC,82.0
2019-08-31,SD,54.0
2019-08-31,TN,56.5
2019-08-31,TX,70.0
2019-08-31,UT,51.0
2019-08-31,VA,66.0
2019-08-31,WA,51.0
2019-08-31,WI,67.0
2019-08-31,WV,83.0
2019-08-31,WY,82.0
2019-09-30,AK,
2019-09-30,AL,61.0
2019-09-30,AR,76.5
2019-09-30,AZ,65.0
2019-09-30,CA,58.0
2019-09-30,CO,64.5
2019-09-30,CT,78.0
2019-09-30,DE,90.0
2019-09-30,FL,74.5
2019-09-30,GA,66.5
2019-09-30,HI,101.0
2019-09-30,IA,73.0
2019-09-30,ID,
2019-09-30,IL,89.5
2019-09-30,IN,70.5
2019-09-30,KS,55.0
2019-09-30,KY,77.5
2019-09-30,LA,95.5
2019-09-30,MA,61.0
2019-09-30,MD,79.5
2019-09-30,ME,67.5
2019-09-30,MI,66.0
2019-09-30,MN,72.5
2019-09-30,MO,71.5
2019-09-30,MS,116.0
2019-09-30,MT,72.0
2019-09-30,NC,68.0
2019-09-30,ND,
